id;m_source;c_source;m_country_code;c_country_code;m_source_id;c_source_id;validation_status
2886683;AZT;CMA;LT;LT;475101302003;149762;barcode
2886687;AZT;CMA;LT;LT;477904892033;156939;barcode
2886688;AZT;CMA;LT;LT;477904892033;161159;barcode
2886689;AZT;CMA;LT;LT;477904892033;167281;barcode
2886693;AZT;CMA;LT;LT;220538;170806;barcode
2886720;AZT;BNU;LT;LT;732013301613;10060127;barcode
2886722;AZT;BNU;LT;LT;732013302115;10060131;barcode
2886728;AZT;BNU;LT;LT;732013301507;10018542;barcode
2886733;AZT;BNU;LT;LT;732013301453;10060124;barcode
2886736;AZT;BNU;LT;LT;732013250164;10060129;barcode
2886742;AZT;BNU;LT;LT;880932832171;10058973;barcode
2886743;AZT;BNU;LT;LT;732013301361;10044612;barcode
2886745;AZT;BNU;LT;LT;732013301354;10044610;barcode
2886748;AZT;BNU;LT;LT;732013250195;10060126;barcode
2886752;AZT;CMA;LT;LT;216294;149609;barcode
2886756;AZT;BNU;LT;LT;732013301378;10044611;barcode
2886761;AZT;BNU;LT;LT;732013301422;10044608;barcode
2886766;AZT;BNU;LT;LT;732013301552;10060119;barcode
2886771;AZT;CMA;LT;LT;590071715222;113701;barcode
2886777;AZT;BNU;LT;LT;732013301385;10060130;barcode
2886779;AZT;BNU;LT;LT;732013301194;10060128;barcode
2886781;AZT;BNU;LT;LT;732013301057;10060117;barcode
2886783;AZT;BNU;LT;LT;732013301040;10060122;barcode
2886785;AZT;BNU;LT;LT;732013301033;10060125;barcode
2886787;AZT;BNU;LT;LT;732013301026;10060121;barcode
2886789;AZT;BNU;LT;LT;732013301019;10060120;barcode
2886796;AZT;CMA;LT;LT;333787241268;160445;barcode
2886799;AZT;CMA;LT;LT;333787241268;166569;barcode
2886806;AZT;GIN;LT;LT;842595108880;38206;barcode
2886813;AZT;BNU;LT;LT;020000008707;10065652;barcode
2886815;AZT;CMA;LT;LT;570893200691;87905;barcode
2886817;AZT;CMA;LT;LT;590071715061;97082;barcode
2886821;AZT;CMA;LT;LT;590071715202;94162;barcode
2886825;AZT;CMA;LT;LT;590071715231;89833;barcode
2886833;AZT;CMA;LT;LT;590071715071;106280;barcode
2886840;AZT;GIN;LT;LT;883205101617;34973;barcode
2886841;AZT;CMA;LT;LT;048937;157079;barcode
2886842;AZT;CMA;LT;LT;048937;159511;barcode
2886844;AZT;CMA;LT;LT;048937;165633;barcode
2886851;AZT;CMA;LT;LT;477016109500;169697;barcode
